Subject,ID,forehead,cheek,eye,nose,mouth,chin,Distance,RH,Airflow,env-temp,Sensation
S1,R11102,32.955551883674836,32.06293599530243,31.823058252427206,28.49591044776122,32.21853932584272,32.25089686098657,1.0,50.83888889,0,22.25,-1
S1,R11103,33.33662280701757,32.117372384937255,32.82083950617287,29.28472457627121,33.60254833040424,33.66651085141906,1.0,50.83888889,0,22.25,-1
S1,R11104,34.36073279052556,31.770636886333502,34.037600000000026,28.025204678362595,34.35883582089554,33.84966292134833,1.0,50.83888889,0,22.25,-1
S1,R11105,34.55269687162893,31.277531645569645,34.667607655502415,27.714000000000024,34.42055401662052,33.90210900473936,1.0,50.83888889,0,22.25,-1
S1,R11106,34.586438442211076,31.586034985422767,34.39756880733947,28.115870307167263,34.401804733727836,33.82721757322178,1.0,50.78333334,0,22.25,-1
S1,R11107,33.6213934863855,32.08329238329241,32.78187500000002,29.966726862302508,33.62867834394907,33.40520833333335,1.0,50.78333334,0,22.25,-1
S1,R11108,33.77518761167364,32.36501153668669,33.14373096446703,29.838458049886643,33.77854632587861,33.85807899461403,1.0,50.78333334,0,22.25,-1
S1,R11109,34.38993239090353,31.82306313993177,34.08346153846156,27.703227848101292,34.65599520383695,33.675879629629655,1.0,50.78333334,0,22.25,-1
S1,R11182,33.04288273615638,31.96135842880526,31.923303571428594,27.870720000000023,32.659932432432456,32.470937500000026,1.8,50.53888889,0,22.25666667,-1
S1,R11183,33.332358803986736,32.081952941176496,32.46754601226996,29.227571428571448,32.97707317073173,33.56825242718449,1.8,50.53888889,0,22.25666667,-1
S1,R11184,34.43154545454548,31.852842105263182,34.373194444444465,27.934640000000023,34.48270440251574,33.41680981595095,1.8,50.53888889,0,22.25666667,-1
S1,R11185,34.64708219178084,31.504404015056483,34.6098924731183,27.845700934579455,34.374225352112695,33.729371069182406,1.8,50.53888889,0,22.25666667,-1
S1,R11186,34.590974440894584,31.748184079602012,34.564831460674185,28.20690476190478,34.5076086956522,33.63261904761907,1.8,50.53888889,0,22.24866667,-1
